event_contact_no,event_details,latitude,longitude,service_type
,উত্তর শাহজানপুর মৈত্রী সংঘ ক্লাবের খালি জায়গা,23.73414619,90.40504671,পশুর হাট
,পোস্তগোলা শশ্বানঘাটের  পপ্চিম পাশের নদীর পাড়ে খালি জায়গা,23.69247581,90.42744534,পশুর হাট
,দনিয়া কলেজের পূর্ব পাশে ও সনটেক মহিলা মাদ্রাসার পূর্ব পাশের খালি জায়গা,23.7017218,90.44434619,পশুর হাট
,সাদেক হোসেন খোকা মাঠের দক্ষিন পার্শ্বে খালি জায়গা ও ধোলাইখাল ট্রাক ট্রার্মিনাল,23.71420105,90.4140691,পশুর হাট
,ইনস্টিটিউট অব লেদার টেকনোলজি কলেজের পূর্ব পার্শ্বের খালি জায়গা,23.73314163,90.36943262,পশুর হাট
,শ্যামপর কদমতলী ট্রাক ষ্ট্যান্ডের খালি জায়গা,23.75755559,90.39537227,পশুর হাট
,আমুলিয়া আরীগড় মডেল কলেজের উত্তর পার্শ্বের খালি জায়গা,23.7328643,90.48449272,পশুর হাট
,কমলাপুর সাদেক হোসেন খোকা কমিউনিটি সেন্টারের পূর্ব পাশের খালি জায়গা,23.73378981,90.42600403,পশুর হাট
,ভাটারা সুতিখোলা খাল সংলগ্ন খালি জায়গা,23.81265779,90.42537568,পশুর হাট
,উত্তরা দিয়াবাড়ী ১৬ ও ১৮ নং সেক্টরের বউ বাজার এলাকার খালি জায়গা,23.85503518,90.35818898,পশুর হাট
,"মিরপুর সেকশন-০৬,ওয়ার্ড ০৬ (ইস্টার্ন হাউজিং) এর খালি জায়গা",23.81513169,90.34998337,পশুর হাট
,মোহাম্মদপুর বসিলাস্থিত ৪০ ফুট রাস্তা সংলগ্ন খালি জায়গা,23.75217219,90.33256079,পশুর হাট
,ঢাকা পলিটেকনিক ইনস্টিটিউট সংলগ্ন খালি জায়গা,23.75927959,90.3996646,পশুর হাট
,খিলক্ষেত বনরূপা আবাসিক এলাকার খালি জায়গা,23.84294642,90.42430182,পশুর হাট
,মিরপুর কালশি বালুর মাঠের খালি জায়গা,23.82338289,90.37895766,পশুর হাট
,গাবতলি পশুর হাট,23.78657069,90.35210873,পশুর হাট
,ইলিয়টগঞ্জ বাজার,23.51261459,90.86931813,পশুর হাট
,নুরীতলা,23.50033117,90.9627365,পশুর হাট
,বিজয়পুর বাজার,23.38479692,91.16015561,পশুর হাট
,কংশনাগর বাজার,23.55526257,91.05902036,পশুর হাট
,লাকসাম বাজার,23.23789978,91.12027728,পশুর হাট
,খিলা বাজার,23.17002695,91.128705,পশুর হাট
,দেবিদ্বার স্টেডিয়াম মাঠ হাট,23.6059616,90.98973193,পশুর হাট
,কোম্পানীগঞ্জ বাজার,23.63869127,90.97035265,পশুর হাট
,চৌদ্দগ্রাম গরুর হাট,23.22919459,91.31190873,পশুর হাট
,খাতাপুর,24.03657567,91.01810191,পশুর হাট
,ইসলামপুর বাজার,24.07170907,91.26321702,পশুর হাট
,রাধিকা বাজার,23.90366961,91.12628375,পশুর হাট
,তন্তর বাজার,23.82564173,91.15468883,পশুর হাট
,কুটি চৌমুহনী গরুরহাট,23.75385066,91.09800131,পশুর হাট
,ছমির মুন্সিরহাট,22.95440257,91.20869061,পশুর হাট
,মাইজদী বাজার,22.88559968,91.09661468,পশুর হাট
,বাংলা বাজার,22.94390802,91.04704841,পশুর হাট
,চন্দ্রগঞ্জ পূর্ব বাজার,22.94814623,91.00079498,পশুর হাট
,চাষীরহাট বাজার,23.06823558,91.10757783,পশুর হাট
,দালাল বাজার,22.96764858,90.80932078,পশুর হাট
,রাখালিয়া বাজার,22.99285991,90.77472333,পশুর হাট
,মিঠাছড়া হাট,22.80787484,91.5567653,পশুর হাট
,ফৌজদারহাট(সিডিআই এর ভিতর),22.40054344,91.75737795,পশুর হাট
,সরকার হাট,22.56001374,91.79753066,পশুর হাট
,বাইনা পুকুরপাড়,22.4418646,91.82020389,পশুর হাট
,ছামারদিঘী,22.67177632,91.79047051,পশুর হাট
